,Unique Key,Created Date,Complaint Type,Descriptor,Latitude,Longitude
,count,count,count,count,count,count
Incident Zip,,,,,,
10001.0,222,222,222,222,222,222
10002.0,739,739,739,739,739,739
10003.0,786,786,786,786,786,786
10004.0,14,14,14,14,14,14
10005.0,23,23,23,23,23,23
10006.0,8,8,8,8,8,8
10007.0,26,26,26,26,26,26
10009.0,963,963,963,963,963,963
10010.0,639,639,639,639,639,639
10011.0,491,491,491,491,491,491
10012.0,395,395,395,395,395,395
10013.0,262,262,262,262,262,262
10014.0,516,516,516,516,516,516
10016.0,589,589,589,589,589,589
10017.0,64,64,64,64,64,64
10018.0,89,89,89,89,89,89
10019.0,644,644,644,644,644,644
10021.0,247,247,247,247,247,247
10022.0,197,197,197,197,197,197
10023.0,386,386,386,386,386,386
10024.0,706,706,706,706,706,706
10025.0,1595,1595,1595,1595,1595,1595
10026.0,1128,1128,1128,1128,1128,1128
10027.0,1977,1977,1977,1977,1977,1977
10028.0,470,470,470,470,470,470
10029.0,1340,1340,1340,1340,1340,1340
10030.0,1457,1457,1457,1457,1457,1457
10031.0,3397,3397,3397,3397,3397,3397
10032.0,3171,3171,3171,3171,3171,3171
10033.0,2306,2306,2306,2306,2306,2306
10034.0,1650,1650,1650,1650,1650,1650
10035.0,1026,1026,1026,1026,1026,1026
10036.0,469,469,469,469,469,469
10037.0,726,726,726,726,726,726
10038.0,78,78,78,78,78,78
10039.0,874,874,874,874,874,874
10040.0,2651,2651,2651,2651,2651,2651
10044.0,80,80,80,80,80,80
10065.0,194,194,194,194,194,194
10069.0,1,1,1,1,1,1
10075.0,237,237,237,237,237,237
10128.0,544,544,544,544,544,544
10129.0,22,22,22,22,22,22
10280.0,21,21,21,21,21,21
10282.0,1,1,1,1,1,1
10301.0,575,575,575,575,575,575
10302.0,216,216,216,216,216,216
10303.0,337,337,337,337,337,337
10304.0,502,502,502,502,502,502
10305.0,144,144,144,144,144,144
10306.0,232,232,232,232,232,232
10307.0,18,18,18,18,18,18
10308.0,20,20,20,20,20,20
10309.0,46,46,46,46,46,46
10310.0,246,246,246,246,246,246
10312.0,69,69,69,69,69,69
10314.0,142,142,142,142,142,142
10451.0,1782,1782,1782,1782,1782,1782
10452.0,4004,4004,4004,4004,4004,4004
10453.0,4796,4796,4796,4796,4796,4796
10454.0,983,983,983,983,983,983
10455.0,1642,1642,1642,1642,1642,1642
10456.0,3821,3821,3821,3821,3821,3821
10457.0,3934,3934,3934,3934,3934,3934
10458.0,4835,4835,4835,4835,4835,4835
10459.0,1826,1826,1826,1826,1826,1826
10460.0,2585,2585,2585,2585,2585,2585
10461.0,1193,1193,1193,1193,1193,1193
10462.0,2667,2667,2667,2667,2667,2667
10463.0,5634,5634,5634,5634,5634,5634
10464.0,28,28,28,28,28,28
10465.0,160,160,160,160,160,160
10466.0,2154,2154,2154,2154,2154,2154
10467.0,5396,5396,5396,5396,5396,5396
10468.0,3821,3821,3821,3821,3821,3821
10469.0,928,928,928,928,928,928
10470.0,643,643,643,643,643,643
10471.0,283,283,283,283,283,283
10472.0,2359,2359,2359,2359,2359,2359
10473.0,770,770,770,770,770,770
10474.0,472,472,472,472,472,472
10475.0,134,134,134,134,134,134
11001.0,9,9,9,9,9,9
11004.0,7,7,7,7,7,7
11040.0,2,2,2,2,2,2
11101.0,293,293,293,293,293,293
11102.0,363,363,363,363,363,363
11103.0,435,435,435,435,435,435
11104.0,597,597,597,597,597,597
11105.0,477,477,477,477,477,477
