cartodb_id,zipcode,cartodb_ge,HubName,HubDist
1,10314,1,Willowbrook Park,7.67598956231899e-06
2,10112,1,Father Duffy Square,3.29483702854519e-06
19,10041,0,Vietnam Veterans Plaza,1.20063044567068e-07
34,10177,1,Park Avenue Malls,2.98898605280252e-06
36,10020,1,Father Duffy Square,3.06623059108255e-06
146,10022,1,Recreation Center 54,2.20090525717365e-06
63,11428,1,Litchhult Square,3.55120948524016e-06
64,11374,1,The Painter's Playground,3.73721686257065e-06
155,10026,1,Samuel Marx Triangle,1.21447808182421e-07
189,11212,1,Betsy Head Park,3.74796304092675e-07
25,10162,1,John Jay Park,2.65740011898515e-07
37,10152,1,Park Avenue Malls,5.38196680138121e-07
38,10154,1,Park Avenue Malls,6.60406524232405e-07
39,10119,1,Greeley Square Park,3.05742060629156e-06
41,10021,1,St. Catherine's Park,2.52459920707199e-06
154,10028,1,Ruppert Park,3.50560083836474e-06
4,10171,1,Park Avenue Malls,1.91324890054164e-06
140,10282,1,Tribeca Dog Run,2.01548943472549e-06
3,10048,0,Battery Park City,2.42189319082896e-06
20,10279,1,City Hall Park,1.61304742646541e-06
18,10271,1,The Queen Elizabeth II September 11th Garden,2.27813065752231e-06
115,10005,1,The Queen Elizabeth II September 11th Garden,8.40881426940958e-07
120,10006,1,Battery Park City,2.4536009939543e-06
134,10280,1,Battery Park City,1.83414609710336e-06
21,10278,1,Thomas Paine Park,9.34442566464665e-07
23,10111,1,Park Avenue Malls,2.98353498018868e-06
22,10165,1,Park Avenue Malls,2.33938984727084e-06
84,11436,1,Playground One Forty,2.94014785912948e-06
161,10044,1,East River Walk,2.64232270220608e-06
186,11213,1,St. John's Recreation Center,2.27233265773046e-06
29,11206,1,Garden,1.24735864175267e-06
72,11103,1,Astoria Heights Playground,1.65894052342176e-06
75,11371,1,Overlook Park,2.25820540208528e-06
119,10007,1,City Hall Park,1.19761511403597e-06
93,11102,1,Van Alst Playground,1.86757649881362e-06
94,11106,1,Ravenswood Playground,2.13592235050714e-06
151,10017,1,Mary O'Connor Playground,2.04300082917801e-06
178,11219,1,Rappaport Playground,3.65630155949783e-06
164,10039,1,Holcombe Rucker Park,1.02612323219738e-06
165,10030,1,Abyssinian Tot Lot,1.41487927441647e-06
169,10034,1,Dyckman House Museum,7.55632760222478e-07
163,10037,1,Abraham Lincoln Playground,4.80630092526808e-07
32,11005,1,Glen Oaks Oval,4.47937538063484e-06
145,10016,1,Vincent F. Albano Jr. Playground,1.99354865973373e-06
150,10001,1,Penn South Playground,2.16561368621372e-06
147,10169,1,Park Avenue Malls,3.41573797244049e-06
113,10038,1,Fishbridge Garden,7.77384742351213e-07
42,11228,1,Patrick O'Rourke Park,1.62164295119157e-06
7,10103,1,Park Avenue Malls,3.2650606588864e-06
156,10029,1,Poor Richard's Playground,9.80916542024766e-07
173,11215,1,Detective Joseph Mayrose Park,7.92558849320534e-07
33,10170,1,Park Avenue Malls,3.63868475425252e-06
123,10457,1,Stop & Go Playground,1.35081210226104e-06
5,10172,1,Park Avenue Malls,2.37954454905886e-06
26,10115,1,Sakura Park,1.72314519997096e-06
160,10128,1,Ruppert Park,3.02709629000686e-07
70,11375,1,MacDonald Park,8.51692335151471e-07
6,10167,1,Park Avenue Malls,2.85012696408011e-06
85,11104,1,Torsney Playground,2.00159034590235e-06
137,10309,1,Bloomingdale Park,3.34045552203076e-06
60,11385,1,Drumm Triangle,1.58633868698693e-06
57,11693,1,Broad Channel Park,3.16994409103491e-06
52,11691,1,Grassmere Playground,2.20681475381907e-06
24,10153,1,Grand Army Plaza,7.4709771366514e-07
43,10069,1,Riverside Park South,1.25483447525615e-06
61,11429,1,Wayanda Park,6.35989175240522e-07
35,10173,1,Bryant Park,2.27131431751119e-06
10,11004,1,Playground Eighty LXXX,1.53558148353758e-06
110,10466,1,Edenwald Playground,4.00819734727983e-06
