cartodb_id,the_geom,incident_zip,unique_key,asma_incident_zip,asma_unique_key,norm_asma
1,0101000020E610000000000000009096400000000000909640,10001,1444,10001,222,0.153739612
2,0101000020E6100000FFFFFFFFFF51A940FFFFFFFFFF51A940,10002,3241,10002,739,0.228016044
3,0101000020E6100000FFFFFFFFFF55AA40FFFFFFFFFF55AA40,10003,3371,10003,786,0.233165233
4,0101000020E610000000000000004055400000000000405540,10004,85,10004,14,0.164705882
5,0101000020E610000000000000008057400000000000805740,10005,94,10005,23,0.244680851
6,0101000020E610000000000000004056400000000000405640,10006,89,10006,8,0.08988764
7,0101000020E61000000000000000A067400000000000A06740,10007,189,10007,26,0.137566138
8,0101000020E610000000000000005EAA4000000000005EAA40,10009,3375,10009,963,0.285333333
9,0101000020E6100000000000000014A140000000000014A140,10010,2186,10010,639,0.29231473
10,0101000020E6100000FFFFFFFFFF63A640FFFFFFFFFF63A640,10011,2866,10011,491,0.171318911
11,0101000020E61000000000000000209D400000000000209D40,10012,1864,10012,395,0.211909871
12,0101000020E610000000000000007099400000000000709940,10013,1628,10013,262,0.160933661
13,0101000020E61000000000000000149E400000000000149E40,10014,1925,10014,516,0.268051948
14,0101000020E61000000000000000E0A3400000000000E0A340,10016,2544,10016,589,0.231525157
15,0101000020E61000000000000000007B400000000000007B40,10017,432,10017,64,0.148148148
16,0101000020E610000000000000009882400000000000988240,10018,595,10018,89,0.149579832
17,0101000020E6100000000000000060A640000000000060A640,10019,2864,10019,644,0.224860335
18,0101000020E61000000000000000001C400000000000001C40,10020,7,,,0
19,0101000020E6100000FFFFFFFFFF9B9440FFFFFFFFFF9B9440,10021,1319,10021,247,0.187263078
20,0101000020E6100000FFFFFFFFFF739440FFFFFFFFFF739440,10022,1309,10022,197,0.150496562
21,0101000020E610000000000000009C9B4000000000009C9B40,10023,1767,10023,386,0.218449349
22,0101000020E61000000000000000FCA7400000000000FCA740,10024,3070,10024,706,0.229967427
23,0101000020E6100000000000000041BA40000000000041BA40,10025,6721,10025,1595,0.237315876
24,0101000020E61000000000000000DBB1400000000000DBB140,10026,4571,10026,1128,0.246773135
25,0101000020E6100000FFFFFFFFFFF6BC40FFFFFFFFFFF6BC40,10027,7415,10027,1977,0.266621713
26,0101000020E6100000000000000072A140000000000072A140,10028,2233,10028,470,0.210479176
27,0101000020E610000000000000008FB54000000000008FB540,10029,5519,10029,1340,0.242797608
28,0101000020E6100000FFFFFFFFFF09B540FFFFFFFFFF09B540,10030,5386,10030,1457,0.270516153
29,0101000020E61000000000000080D0CA400000000080D0CA40,10031,13729,10031,3397,0.247432442
30,0101000020E61000000000000080AFC8400000000080AFC840,10032,12639,10032,3171,0.250890102
31,0101000020E61000000000000000EBBF400000000000EBBF40,10033,8171,10033,2306,0.282217599
32,0101000020E61000000000000000D6BB400000000000D6BB40,10034,7126,10034,1650,0.23154645
33,0101000020E6100000FFFFFFFFFF51AE40FFFFFFFFFF51AE40,10035,3881,10035,1026,0.264364854
34,0101000020E61000000000000000F4A0400000000000F4A040,10036,2170,10036,469,0.216129032
35,0101000020E6100000000000000064A140000000000064A140,10037,2226,10037,726,0.326145553
36,0101000020E610000000000000007880400000000000788040,10038,527,10038,78,0.14800759
37,0101000020E6100000000000000082AA40000000000082AA40,10039,3393,10039,874,0.257589154
38,0101000020E61000000000000000B6C2400000000000B6C240,10040,9580,10040,2651,0.276722338
39,0101000020E610000000000000004067400000000000406740,10044,186,10044,80,0.430107527
40,0101000020E61000000000000000A890400000000000A89040,10065,1066,10065,194,0.181988743
41,0101000020E610000000000000000030400000000000003040,10069,16,10069,1,0.0625
42,0101000020E61000000000000000708A400000000000708A40,10075,846,10075,237,0.280141844
43,0101000020E6100000000000000000F03F000000000000F03F,10103,1,,,0
44,0101000020E6100000000000000000F03F000000000000F03F,10107,1,,,0
45,0101000020E6100000000000000000F03F000000000000F03F,10111,1,,,0
46,0101000020E6100000FFFFFFFFFFFF1340FFFFFFFFFFFF1340,10112,5,,,0
47,0101000020E610000000000000000020400000000000002040,10119,8,,,0
48,0101000020E610000000000000000000400000000000000040,10123,2,,,0
49,0101000020E61000000000000000B6A2400000000000B6A240,10128,2395,10128,544,0.227139875
50,0101000020E61000000000000000003C400000000000003C40,10129,28,10129,22,0.785714286
51,0101000020E610000000000000000018400000000000001840,10153,6,,,0
52,0101000020E610000000000000000000400000000000000040,10162,2,,,0
53,0101000020E610000000000000004051400000000000405140,10280,69,10280,21,0.304347826
54,0101000020E6100000FFFFFFFFFFFF1340FFFFFFFFFFFF1340,10281,5,,,0
55,0101000020E610000000000000000022400000000000002240,10282,9,10282,1,0.111111111
56,0101000020E6100000000000000090A540000000000090A540,10301,2760,10301,575,0.208333333
57,0101000020E61000000000000000188F400000000000188F40,10302,995,10302,216,0.217085427
58,0101000020E61000000000000000949A400000000000949A40,10303,1701,10303,337,0.198118754
59,0101000020E6100000000000000000A240000000000000A240,10304,2304,10304,502,0.217881944
60,0101000020E610000000000000002C904000000000002C9040,10305,1035,10305,144,0.139130435
61,0101000020E61000000000000000F095400000000000F09540,10306,1404,10306,232,0.165242165
62,0101000020E61000000000000000E068400000000000E06840,10307,199,10307,18,0.090452261
63,0101000020E61000000000000000406F400000000000406F40,10308,250,10308,20,0.08
64,0101000020E61000000000000000707A400000000000707A40,10309,423,10309,46,0.108747045
65,0101000020E610000000000000003894400000000000389440,10310,1294,10310,246,0.190108192
66,0101000020E61000000000000000D083400000000000D08340,10312,634,10312,69,0.108832808
67,0101000020E6100000FFFFFFFFFF4F9240FFFFFFFFFF4F9240,10314,1172,10314,142,0.12116041
68,0101000020E6100000FFFFFFFFFFF3B940FFFFFFFFFFF3B940,10451,6644,10451,1782,0.268211921
69,0101000020E61000000000000080F3CA400000000080F3CA40,10452,13799,10452,4004,0.290165954
70,0101000020E6100000FFFFFFFFBF3FD040FFFFFFFFBF3FD040,10453,16639,10453,4796,0.288238476
71,0101000020E6100000000000000084AD40000000000084AD40,10454,3778,10454,983,0.260190577
72,0101000020E6100000000000000043B440000000000043B440,10455,5187,10455,1642,0.316560632
73,0101000020E6100000000000008086CA40000000008086CA40,10456,13581,10456,3821,0.281348943
74,0101000020E6100000FFFFFFFF7FF2CC40FFFFFFFF7FF2CC40,10457,14821,10457,3934,0.265434181
75,0101000020E610000000000000C037D24000000000C037D240,10458,18655,10458,4835,0.259179845
76,0101000020E61000000000000000FDBB400000000000FDBB40,10459,7165,10459,1826,0.254849965
77,0101000020E6100000000000008027C340000000008027C340,10460,9807,10460,2585,0.263587234
78,0101000020E610000000000000001BB24000000000001BB240,10461,4635,10461,1193,0.257389428
79,0101000020E610000000000000805AC24000000000805AC240,10462,9397,10462,2667,0.283813983
80,0101000020E61000000000000000CFC5400000000000CFC540,10463,11166,10463,5634,0.504567437
81,0101000020E61000000000000000A069400000000000A06940,10464,205,10464,28,0.136585366
82,0101000020E610000000000000000491400000000000049140,10465,1089,10465,160,0.146923783
83,0101000020E61000000100000000C0BF400100000000C0BF40,10466,8128,10466,2154,0.265009843
84,0101000020E610000000000000C0C6D24000000000C0C6D240,10467,19227,10467,5396,0.280647007
85,0101000020E6100000FFFFFFFFFF15CE40FFFFFFFFFF15CE40,10468,15404,10468,3821,0.248052454
86,0101000020E6100000000000000031B040000000000031B040,10469,4145,10469,928,0.223884198
87,0101000020E6100000000000000060A340000000000060A340,10470,2480,10470,643,0.259274194
